"","Source","Symbol","ChangePerc","ClosePrice","OpenPrice","ChangeInDollars","Volume","HighPrice","LowPrice","PreviousClose","YearHigh","YearLow","NShares","PE","MarketCap","Dividend","DividendYield","EPS"
"12","google-finance","qcom","1.92","57.88","56.79",1.09,"12030000","57.98","56.44","56.79","59.84","31.63","1.67e+09","25.14","9.663e+10","0.22","1.49","2.3"
"13","msn-money","qcom","1.92","57.88","56.79",1.09,"12030000","57.98","56.44","56.79","59.84","31.63","1.67e+09","25.17","9.481e+10","0.86","1.51","2.3"
"14","nasdaq-com","qcom","1.92","57.88","56.79",1.09,"12028798","57.98","56.44","56.79","59.84","31.63","1669532000","25.17","96632512160","0.86","1.51","2.3"
"15","yahoo-finance","qcom","1.92","57.88","56.78",1.09,"12028798","57.98","56.44","56.79","59.84","31.63","1669532000","25.12","9.663e+10","0.86","1.6","2.3"
"16","bloomberg","nvda","1.318","16.145","15.94",0.21,"13036144","16.21","15.62","15.94","26.17","8.65","600288000","25.627","9691656000",NA,NA,"630"
"17","google-finance","nvda","1.32","16.15","15.94",0.21,"13400000","16.21","15.62","15.94","26.17","8.65","600290000","39.83","9.69e+09",NA,NA,"0.41"
"18","msn-money","nvda","1.32","16.15","15.94",0.21,"13400000","16.21","15.62","15.94","26.17","8.65","600290000","38.44","9.57e+09",NA,NA,"0.41"
"19","nasdaq-com","nvda","1.32","16.145","15.94",0.21,"13396378","16.21","15.62","15.935","26.17","8.65","600288000","40.36","9691649760",NA,NA,"0.4"
"20","yahoo-finance","nvda","1.32","16.15","16",0.21,"13396278","16.21","15.62","15.94","26.17","8.65","600288000","38.08","9.69e+09",NA,NA,"0.42"
"21","bloomberg","ctxs","975","80.78","80.31",0.78,"1659407","81.32","79.97","80","88.49","41.62","187995000","50.174","15186270000",NA,NA,"1.61"
"22","google-finance","ctxs","0.97","80.78","80.31",0.78,"1660000","81.32","79.97","80","88.49","41.62","1.88e+08","50.9","1.519e+10",NA,NA,"1.59"
"23","msn-money","ctxs","0.97","80.78","80.31",0.78,"1660000","81.32","79.97","80","88.49","41.62","1.88e+08","50.81","1.504e+10",NA,NA,"1.59"
"24","nasdaq-com","ctxs","0.98","80.78","80.31",0.78,"1659407","81.32","79.97","80","88.4895","41.62","187995000","51.13","15186236100",NA,NA,"1.58"
"25","yahoo-finance","ctxs","0.97","80.78","80.31",0.78,"1659407","81.32","79.97","80","88.49","41.62","187995000","50.84","1.519e+10",NA,NA,"1.59"
"26","bloomberg","srcl","2.356","91.22","89.56",2.1,"516502","91.25","89.36","89.12","95.71","61.02","85849000","34.817","7831145000",NA,NA,"2.62"
"27","google-finance","srcl","2.36","91.22","89.56",2.1,"516044","91.25","89.36","89.12","95.71","61.02","85850000","36.91","7.83e+09",NA,NA,"2.47"
"28","msn-money","srcl","2.36","91.22","89.56",2.1,"516044","91.25","89.36","89.12","95.71","61.02","85850000","36.93","7.65e+09",NA,NA,"2.47"
"29","nasdaq-com","srcl","2.36","91.22","89.56",2.1,"516044","91.25","89.36","89.12","95.71","61.02","85849000","36.93","7831145780",NA,NA,"2.47"
"30","yahoo-finance","srcl","2.36","91.22","89.56",2.1,"516044","91.25","89.36","89.12","95.71","61.02","85849000","36.93","7.83e+09",NA,NA,"2.47"
"31","bloomberg","esrx","-37","53.96","54.08",-0.02,"6187177","54.35","53.78","53.98","60.89","41.55","529454000","22.206","28569340000",NA,NA,"2.43"
"32","google-finance","esrx","-0.04","53.96","54.08",-0.02,"6190000","54.35","53.78","53.98","60.89","41.55","529120000","22.86","2.855e+10",NA,NA,"2.36"
"33","msn-money","esrx","-0.04","53.96","54.08",-0.02,"6190000","54.35","53.78","53.98","60.89","41.55","529450000","23.26","2.858e+10",NA,NA,"2.32"
"34","nasdaq-com","esrx","0.04","53.96","54.08",0.02,"6187177","54.35","53.78","53.98","60.89","41.55","529454000","23.26","28569337840",NA,NA,"2.32"
"35","yahoo-finance","esrx","0.04","53.96","53.99",0.02,"6181089","54.35","53.78","53.98","60.89","41.55","529454000","23.37","2.857e+10",NA,NA,"2.31"
"36","bloomberg","csco","1.602","15.86","15.63",0.25,"56477627","15.95","15.6","15.61","26","14.78","5500185000","11.947","87507940000","0.06","378","1.33"
"37","google-finance","csco","1.6","15.86","15.63",0.25,"56480000","15.95","15.6","15.61","26","14.78","5.5e+09","12.46","8.723e+10","0.06","1.51","1.27"
"38","msn-money","csco","1.6","15.86","15.63",0.25,"56480000","15.95","15.6","15.61","26","14.78","5.5e+09","12.39","8.586e+10","0.24","1.54","1.27"
"39","nasdaq-com","csco","1.6","15.86","15.65",0.25,"56482911","15.95","15.6","15.61","26","14.78","5500185000","12.49","87232934100","0.06","378","1.27"
"40","yahoo-finance","csco","1.6","15.86","15.61",0.25,"56480911","15.95","15.6","15.61","26","14.78","5500185000","12.38","8.723e+10","0.24","1.6","1.28"
"41","bloomberg","fast","1.834","36.65","36.04",0.66,"2930250","36.71","36","35.99","36.71","22.14","294861000","37.398","10806670000","0.13","2.183","980"
"42","google-finance","fast","1.83","36.65","36.04",0.66,"2930000","36.71","36","35.99","36.71","22.32","294860000","37.45","1.081e+10","0.13","1.42","0.98"
"43","msn-money","fast","1.83","36.65","36.04",0.66,"2930000","36.71","36","35.99","36.42","22.32","294860000","37.4","1.061e+10","0.52","1.44","0.98"
"44","nasdaq-com","fast","1.83","36.65","36.04",0.66,"2930250","36.71","36","35.99","36.42","22.32","294861000","35.58","10806655650","0.13","2.183","1.03"
"45","yahoo-finance","fast","1.83","36.65","36.09",0.66,"2928650","36.71","36","35.99","36.71","22.32","294861000","37.4","1.081e+10","0.52","1.4","0.98"
"46","bloomberg","mchp","1.161","38.35","37.98",0.44,"1385332","38.49","37.76","37.91","41.5","27.19","190480000","17.511","7304895000","0.346","3.593","2.19"
"47","google-finance","mchp","1.16","38.35","37.98",0.44,"1380000","38.49","37.76","37.91","41.5","27.19","190480000","17.44","7.3e+09","0.35","3.61","2.2"
"48","msn-money","mchp","1.16","38.35","37.98",0.44,"1380000","38.49","37.76","37.91","41.5","27.19","190480000","17.43","7.22e+09","1.38","3.65","2.15"
"49","nasdaq-com","mchp","1.16","38.35","37.98",0.44,"1383356","38.49","37.76","37.91","41.5","27.19","190480000","17.92","7304908000","1.384","3.65","2.14"
"50","yahoo-finance","mchp","1.16","38.35","37.98",0.44,"1383356","38.49","37.76","37.91","41.5","27.19","190480000","17.85","7.3e+09","1.38","3.7","2.15"
"51","bloomberg","vmed","1.036","30.24","30.24",0.31,"4867903","30.5","30.03","29.93","33.32","16.24","313459000","78.402","9479009000","0.04","530","240"
"52","google-finance","vmed","1.04","30.24","30.24",0.31,"4870000","30.5","30.03","29.93","33.32","16.24","317270000","104275.86","9.59e+09","0.04","0.53","0"
"53","msn-money","vmed","1.04","30.24","30.24",0.31,"4870000","30.5","30.03","29.93","33.32","16.24","317270000","-9.48","9.5e+09","0.16","0.53","0.12"
"54","nasdaq-com","vmed","1.04","30.24","30.24",0.31,"4867103","30.5","30.03","29.93","33.32","16.24","317268000","232.62","9594184320","0.16","0.53","0.13"
"55","yahoo-finance","vmed","1.04","30.24","30.24",0.31,"4867103","30.5","30.03","29.93","33.32","16.24","317270000","272.43","9.59e+09","0.16","0.5","0.11"
"56","bloomberg","ntap","2.918","54.32","53.51",1.54,"8702113","54.57","53.07","52.78","61.02","36.66","371113000","33.325","20158830000",NA,NA,"1.63"
"57","google-finance","ntap","2.92","54.32","53.51",1.54,"8700000","54.57","53.07","52.78","61.02","36.66","371110000","31.82","2.016e+10",NA,NA,"1.71"
"58","msn-money","ntap","2.92","54.32","53.51",1.54,"8700000","54.57","53.07","52.78","61.02","36.66","371110000","31.77","1.959e+10",NA,NA,"1.71"
"59","nasdaq-com","ntap","2.92","54.32","53.51",1.54,"8699525","54.57","53.07","52.78","61.02","36.66","367872000","33.53","19982807040",NA,NA,"1.62"
"60","yahoo-finance","ntap","2.92","54.32","53.51",1.54,"8699125","54.57","53.07","52.78","61.02","36.66","371110000","31.77","2.016e+10",NA,NA,"1.71"
"61","bloomberg","ctrp","2.252","44.05","43.24",0.97,"1345909","44.17","42.68","43.08","53.16","31.35","136221000","40.599","6000540000","0.112",NA,"1.085"
"62","google-finance","ctrp","2.25","44.05","43.24",0.97,"1350000","44.17","42.68","43.08","53.16","31.35","574160000","39.67","2.529e+10","0.112",NA,"1.11"
"63","msn-money","ctrp","2.25","44.05","43.24",0.97,"1350000","44.17","42.68","43.08","53.16","31.35","143540000","39.68","6.18e+09","0.112",NA,"1.11"
"64","nasdaq-com","ctrp","2.25","44.05","43.24",0.97,"1345909","44.17","42.68","43.08","53.16","31.35","143564000","40.79","6323994200","0.112",NA,"1.08"
"65","yahoo-finance","ctrp","2.25","44.05","43.16",0.97,"1345909","44.17","42.68","43.08","53.16","31.35","136221000","39.58","6.32e+09","0.112",NA,"1.11"
"66","bloomberg","rost","1.435","81.27","80.37",1.15,"818009","81.35","79.77","80.12","83.11","48.71","116956000","16.451","9505039000","0.22","935","4.94"
"67","google-finance","rost","1.44","81.27","80.37",1.15,"816385","81.35","79.77","80.12","83.11","48.71","116960000","16.43","9.51e+09","0.22","1.08","4.95"
"68","msn-money","rost","1.44","81.27","80.37",1.15,"816385","81.35","79.77","80.12","83.11","48.71","116960000","16.42","9.37e+09","0.88","1.1","4.95"
"69","nasdaq-com","rost","1.44","81.27","80.37",1.15,"816385","81.35","79.77","80.12","83.11","48.71","117510000","16.45","9550037700","0.88","1.1","4.94"
"70","yahoo-finance","rost","1.44","81.27","80.37",1.15,"816385","81.35","79.77","80.12","83.11","48.71","116960000","16.43","9.51e+09","0.88","1.1","4.95"
"71","bloomberg","payx","1.074","31.05","30.6",0.33,"2072296","31.09","30.6","30.72","33.91","24.65","361850000","21.866","11235430000","0.31","4","1.42"
"72","google-finance","payx","1.07","31.05","30.6",0.33,"2070000","31.09","30.6","30.72","33.91","24.65","361850000","21.84","1.124e+10","0.31","3.99","1.42"
"73","msn-money","payx","1.07","31.05","30.6",0.33,"2070000","31.09","30.6","30.72","33.91","24.65","361850000","21.87","1.112e+10","1.24","4.04","1.42"
"74","nasdaq-com","payx","1.07","31.05","30.6",0.33,"2070249","31.09","30.6","30.72","33.91","24.6519","361850000","21.87","11235442500","1.24","4.04","1.42"
"75","yahoo-finance","payx","1.07","31.05","30.62",0.33,"2070249","31.09","30.6","30.72","33.91","24.65","361850000","21.87","1.124e+10","1.24","4.1","1.42"
"76","bloomberg","qgen","263","19.07","19.14",0.05,"1700468","19.18","19.01","19.02","22.2","16.86","233683000","28.044","4456343000",NA,NA,"680"
"77","google-finance","qgen","0.26","19.07","19.14",0.05,"1700000","19.18","19.01","19.02","22.2","16.86","232830000","32.87","4.44e+09",NA,NA,"0.58"
"78","msn-money","qgen","0.26","19.07","19.14",0.05,"1700000","19.18","19.01","19.02","22.2","16.86","232830000","31.26","4.43e+09",NA,NA,"0.58"
"79","nasdaq-com","qgen","0.26","19.07","19.14",0.05,"1699768","19.18","19.01","19.02","22.2","16.86","233163000","32.88","4446418410",NA,NA,"0.58"
"80","yahoo-finance","qgen","0.26","19.07","19.17",0.05,"1699637","19.18","19.01","19.02","22.2","16.86","232830000","32.88","4.46e+09",NA,NA,"0.58"
"81","bloomberg","grmn","1.665","33.58","33.12",0.55,"1253341","33.72","33.05","33.03","36.42","26.11","208077000","11.95","6987240000","0.4","2.384","2.81"
"82","google-finance","grmn","1.67","33.58","33.12",0.55,"1250000","33.72","33.05","33.03","36.42","26.11","194010000","10.39","6.52e+09","0.4","4.76","3.23"
"83","msn-money","grmn","1.67","33.58","33.12",0.55,"1250000","33.72","33.05","33.03","36.42","26.11","194020000","10.33","6.41e+09","1.6","4.84","3.23"
"84","nasdaq-com","grmn","1.67","33.58","33.12",0.55,"1253241","33.72","33.05","33.03","36.42","26.11","208077000","10.27","6987225660","1.501","4.54","3.27"
"85","yahoo-finance","grmn","1.67","33.58","33.2",0.55,"1253141","33.72","33.05","33.03","36.42","26.11","208077000","10.28","6.51e+09","1.91","6","3.27"
"86","bloomberg","nflx","2.018","267.99","262.06",5.3,"3983786","268.26","262.06","262.69","277.7","95.33","52519000","77.009","14074610000",NA,NA,"3.48"
"87","google-finance","nflx","2.02","267.99","262.06",5.3,"3980000","268.26","262.06","262.69","277.7","95.33","52890000","76.91","1.417e+10",NA,NA,"3.48"
"88","msn-money","nflx","2.02","267.99","262.06",5.3,"3980000","268.26","262.06","262.69","277.7","95.33","52490000","77.01","1.379e+10",NA,NA,"3.48"
"89","nasdaq-com","nflx","2.02","267.99","262.06",5.3,"3983324","268.26","262.06","262.69","277.7","95.33","52491000","77.01","14067063090",NA,NA,"3.48"
"90","yahoo-finance","nflx","2.02","267.99","262.06",5.3,"3983324","268.26","262.06","262.69","277.7","95.33","52519000","76.96","1.407e+10",NA,NA,"3.48"
"91","bloomberg","sbux","1.773","40.19","39.62",0.7,"6421769","40.26","39.5","39.49","40.26","22.5","749600000","27.527","30126420000","0.13","1.293","1.46"
"92","google-finance","sbux","1.77","40.19","39.62",0.7,"6420000","40.26","39.5","39.49","40.26","22.5","749600000","28.13","3.013e+10","0.13","1.29","1.43"
"93","msn-money","sbux","1.77","40.19","39.62",0.7,"6420000","40.26","39.5","39.49","39.79","22.5","749600000","28.1","2.96e+10","0.52","1.32","1.43"
"94","nasdaq-com","sbux","1.77","40.19","39.62",0.7,"6416272","40.26","39.5","39.49","39.79","22.5","749600000","28.1","30126424000","0.52","1.32","1.43"
"95","yahoo-finance","sbux","1.77","40.19","39.62",0.7,"6414572","40.26","39.5","39.49","40.26","22.5","749600000","28.09","3.013e+10","0.52","1.3","1.43"
"96","bloomberg","myl","1.216","24.97","24.67",0.3,"4478723","24.99","24.52","24.67","25.46","16.55","439251000","20.808","10968110000","0.24","0.97","1.2"
"97","google-finance","myl","1.22","24.97","24.67",0.3,"4480000","24.99","24.52","24.67","25.46","16.55","439250000","34.21","1.097e+10","0.24","0.97","0.73"
"98","msn-money","myl","1.22","24.97","24.67",0.3,"4480000","24.99","24.52","24.67","25.46","16.55","439250000","35.17","1.084e+10","0.24","0.97","0.73"
"99","nasdaq-com","myl","1.22","24.97","24.67",0.3,"4476181","24.99","24.52","24.67","25.46","16.55","439251000","34.21","10968097470","0.24","0.97","0.73"
"100","yahoo-finance","myl","1.22","24.97","24.67",0.3,"4473881","24.99","24.52","24.67","25.46","16.55","439251000","34.3","1.097e+10","0.24","0.97","0.73"
"101","bloomberg","fslr","597","133.06","130.66",0.79,"1735071","133.48","129.111","132.27","175.45","111.4","86161000","18.532","11464540000",NA,NA,"7.18"
"102","google-finance","fslr","0.6","133.06","130.66",0.79,"1740000","133.48","129.11","132.27","175.45","111.4","86160000","18.98","1.146e+10",NA,NA,"7.01"
"103","msn-money","fslr","0.6","133.06","130.66",0.79,"1740000","133.48","129.11","132.27","175.45","111.4","86160000","18.98","1.14e+10",NA,NA,"7.01"
"104","nasdaq-com","fslr","0.6","133.06","130.66",0.79,"1735871","133.48","129.1109","132.27","175.449","111.4","86161000","18.98","11464582660",NA,NA,"7.01"
"105","yahoo-finance","fslr","0.6","133.06","130.66",0.79,"1735671","133.48","129.11","132.27","175.45","111.4","86161000","18.99","1.146e+10",NA,NA,"7.01"
"106","bloomberg","altr","2.546","47.53","46.44",1.18,"3756676","47.75","46.2","46.35","49.59","24.2","322224000","17.79","15305620000","0.06","504","2.67"
"107","google-finance","altr","2.55","47.53","46.44",1.18,"3760000","47.75","46.2","46.35","49.59","24.2","322220000","17.83","1.532e+10","0.06","0.5","2.67"
"108","msn-money","altr","2.55","47.53","46.44",1.18,"3760000","47.75","46.2","46.35","49.59","24.2","322220000","17.8","1.494e+10","0.24","0.52","2.67"
"109","nasdaq-com","altr","2.55","47.53","46.44",1.18,"3756676","47.75","46.2","46.35","49.59","24.2","322224000","17.8","15315306720","0.24","0.52","2.67"
"110","yahoo-finance","altr","2.55","47.53","46.38",1.18,"3755876","47.75","46.2","46.35","49.59","24.2","322224000","17.83","1.532e+10","0.24","0.5","2.67"
"111","bloomberg","intc","1.67","22.53","22.21",0.37,"35364980","22.58","22.1","22.16","23.96","17.6","5.302e+09","10.339","119351700000","0.21","3.003","2.18"
"112","google-finance","intc","1.67","22.53","22.21",0.37,"35360000","22.58","22.1","22.16","23.96","17.6","5.3e+09","10.5","1.1945e+11","0.21","3.73","2.15"
"113","msn-money","intc","1.67","22.53","22.21",0.37,"35360000","22.58","22.1","22.16","23.96","17.6","5.3e+09","10.53","1.1749e+11","0.84","3.79","2.15"
"114","nasdaq-com","intc","1.67","22.53","22.25",0.37,"35364863","22.58","22.1","22.16","23.96","17.6","5.302e+09","10.33","119454060000","0.7248","3.27","2.18"
"115","yahoo-finance","intc","1.67","22.53","22.24",0.37,"35351601","22.58","22.1","22.16","23.96","17.6","5.302","10.53","1.1945e+11","0.72","3.4","2.14"
"116","bloomberg","msft","77","26.02","25.93",0.02,"49654988","26.17","25.84","26","29.46","22.73","8432767000","10.577","219420600000","0.16","2.339","2.46"
"117","google-finance","msft","0.08","26.02","25.93",0.02,"49590000","26.17","25.84","26","29.46","22.73","8.43e+09","10.31","2.1942e+11","0.16","2.46","2.52"
"118","msn-money","msft","0.08","26.02","25.93",0.02,"49590000","26.17","25.84","26","29.46","22.73","8.43e+09","10.33","2.1925e+11","0.64","2.46","2.52"
"119","nasdaq-com","msft","0.08","26.02","25.95",0.02,"49590671","26.17","25.84","26","29.46","22.73","8432767000","10.37","219420597340","0.64","2.46","2.51"
"120","yahoo-finance","msft","0.08","26.02","25.95",0.02,"49583793","26.17","25.84","26","29.46","22.73","8432767000","10.34","2.1942e+11","0.64","2.5","2.52"
"121","bloomberg","ctsh","1.991","74.8","73.48",1.46,"2153733","74.86","73.12","73.34","83.48","48.98","304250000","29.333","22757890000",NA,NA,"2.55"
"122","google-finance","ctsh","1.99","74.8","73.48",1.46,"2150000","74.86","73.12","73.34","83.48","48.98","304250000","29.39","2.276e+10",NA,NA,"2.55"
"123","msn-money","ctsh","1.99","74.8","73.48",1.46,"2150000","74.86","73.12","73.34","83.48","48.98","304250000","29.33","2.231e+10",NA,NA,"2.55"
"124","nasdaq-com","ctsh","1.99","74.8","73.48",1.46,"2153733","74.8596","73.1201","73.34","83.48","48.98","304250000","29.33","22757900000",NA,NA,"2.55"
"125","yahoo-finance","ctsh","1.99","74.8","73.65",1.46,"2153533","74.86","73.12","73.34","83.48","48.98","304250000","29.34","2.276e+10",NA,NA,"2.55"
"126","bloomberg","intu","733","52.24","51.97",0.38,"1561430","52.37","51.63","51.86","56.46","34","3.04e+08","25.359","15880980000",NA,NA,"2.06"
"127","google-finance","intu","0.73","52.24","51.97",0.38,"1560000","52.37","51.63","51.86","56.46","34","3.04e+08","25.44","1.588e+10",NA,NA,"2.05"
"128","msn-money","intu","0.73","52.24","51.97",0.38,"1560000","52.37","51.63","51.86","56.46","34","3.04e+08","25.24","1.577e+10",NA,NA,"2.05"
"129","nasdaq-com","intu","0.73","52.24","51.97",0.38,"1561430","52.37","51.63","51.86","56.46","34","302581000","25.36","15806831440",NA,NA,"2.06"
"130","yahoo-finance","intu","0.73","52.24","51.97",0.38,"1561330","52.37","51.63","51.86","56.46","34","3.04","26.02","1.588e+10",NA,NA,"2.01"
"131","bloomberg","chkp","-176","56.75","56.64",-0.1,"1521953","56.89","56.25","56.85","56.92","28.82","207621000","25.448","11782490000",NA,NA,"2.23"
"132","google-finance","chkp","-0.18","56.75","56.64",-0.1,"1520000","56.89","56.25","56.85","56.92","28.82","208410000","25.39","1.183e+10",NA,NA,"2.23"
"133","msn-money","chkp","-0.18","56.75","56.64",-0.1,"1520000","56.89","56.25","56.85","56.92","28.82","208410000","24.57","1.185e+10",NA,NA,"2.24"
"134","nasdaq-com","chkp","0.18","56.75","56.64",0.1,"1521553","56.89","56.25","56.85","56.923","28.82","207589000","25.45","11780675750",NA,NA,"2.23"
"135","yahoo-finance","chkp","0.18","56.75","56.65",0.1,"1518553","56.89","56.25","56.85","56.92","28.82","208410000","25.33","1.181e+10",NA,NA,"2.24"
"136","bloomberg","life","499","52.33","52.24",0.26,"2311938","52.61","51.83","52.07","57.25","41.1","178766000","24.684","9354815000",NA,NA,"2.12"
"137","google-finance","life","0.5","52.33","52.24",0.26,"2310000","52.61","51.83","52.07","57.25","41.1","178770000","26.07","9.35e+09",NA,NA,"2.01"
"138","msn-money","life","0.5","52.33","52.24",0.26,"2310000","52.61","51.83","52.07","57.25","41.1","178770000","26.03","9.31e+09",NA,NA,"2.01"
"139","nasdaq-com","life","0.5","52.33","52.24",0.26,"2310985","52.61","51.83","52.07","57.25","41.1","178766000","26.03","9354824780",NA,NA,"2.01"
"140","yahoo-finance","life","0.5","52.33","52.24",0.26,"2310885","52.59","51.83","52.07","57.25","41.1","178766000","26.09","9.35e+09",NA,NA,"2.01"
"141","bloomberg","hsic","1.886","72.94","71.73",1.35,"389270","73.01","71.28","71.59","74.48","50.96","92252000","19.929","6728826000",NA,NA,"3.66"
"142","google-finance","hsic","1.89","72.94","71.73",1.35,"388970","73.01","71.28","71.59","74.48","50.96","92250000","19.9","6.73e+09",NA,NA,"3.66"
"143","msn-money","hsic","1.89","72.94","71.73",1.35,"388970","73.01","71.28","71.59","74.48","50.96","92250000","19.98","6.6e+09",NA,NA,"3.67"
"144","nasdaq-com","hsic","1.89","72.94","71.73",1.35,"388970","73.01","71.28","71.59","74.48","50.96","92252000","19.93","6728860880",NA,NA,"3.66"
"145","yahoo-finance","hsic","1.89","72.94","71.73",1.35,"388970","73.01","71.28","71.59","74.48","50.96","92252000","19.99","6.73e+09",NA,NA,"3.65"
"146","bloomberg","joyg","1.995","97.14","94.95",1.9,"1967331","97.53","93.69","95.24","103.44","48.05","105040000","19.428","10203540000","0.175","721","5"
"147","google-finance","joyg","1.99","97.14","94.95",1.9,"1970000","97.53","93.69","95.24","103.44","48.05","105040000","19.43","1.02e+10","0.17","0.72","5"
"148","msn-money","joyg","1.99","97.14","94.95",1.9,"1970000","97.53","93.69","95.24","103.44","48.05","105040000","19.43","1e+10","0.7","0.73","5"
"149","nasdaq-com","joyg","1.99","97.14","94.68",1.9,"1967331","97.53","93.69","95.24","103.44","48.05","104787000","19.43","10179009180","0.7","0.73","5"
"150","yahoo-finance","joyg","1.99","97.14","94.89",1.9,"1967331","97.53","93.7","95.24","103.44","48.05","105040000","19.44","1.02e+10","0.7","0.8","5"
"151","bloomberg","ffiv","2.639","113.16","110.83",2.91,"1425728","113.33","110.13","110.25","145.76","66.79","81111000","46","9178532000",NA,NA,"2.46"
"152","google-finance","ffiv","2.64","113.16","110.83",2.91,"1430000","113.34","110.13","110.25","145.76","66.79","81110000","46.07","9.18e+09",NA,NA,"2.46"
"153","msn-money","ffiv","2.64","113.16","110.83",2.91,"1430000","113.33","110.13","110.25","145.76","66.79","81110000","46.19","8.94e+09",NA,NA,"2.46"
"154","nasdaq-com","ffiv","2.64","113.16","110.83",2.91,"1425728","113.33","110.13","110.25","145.76","66.79","81111000","46.19","9178520760",NA,NA,"2.45"
"155","yahoo-finance","ffiv","2.64","113.16","110.83",2.91,"1425728","113.33","110.13","110.25","145.76","66.79","81111000","46.21","9.18e+09",NA,NA,"2.45"
"156","bloomberg","ilmn","1.144","76.01","75.16",0.86,"1127564","76.39","74.85","75.15","76.81","41.16","123132000","73.086","9359264000",NA,NA,"1.04"
"157","google-finance","ilmn","1.14","76.01","75.16",0.86,"1130000","76.39","74.85","75.15","76.81","41.15","123130000","87.63","9.36e+09",NA,NA,"0.87"
"158","msn-money","ilmn","1.14","76.01","75.16",0.86,"1130000","76.39","74.85","75.15","76.81","41.16","123130000","87.37","9.25e+09",NA,NA,"0.87"
"159","nasdaq-com","ilmn","1.14","76.01","75.16",0.86,"1127564","76.39","74.85","75.15","76.81","41.155","123132000","88.38","9359263320",NA,NA,"0.86"
"160","yahoo-finance","ilmn","1.14","76.01","75.31",0.86,"1124864","76.39","74.86","75.15","76.81","41.15","123132000","88.08","9.36e+09",NA,NA,"0.86"
"161","bloomberg","nihd","1.817","43.15","42.27",0.77,"979392","43.18","41.97","42.38","46.32","32.36","170197000","19.178","7344019000",NA,NA,"2.25"
"162","google-finance","nihd","1.82","43.15","42.27",0.77,"978948","43.18","41.97","42.38","46.32","32.36","170200000","19.16","7.34e+09",NA,NA,"2.25"
"163","msn-money","nihd","1.82","43.15","42.27",0.77,"978948","43.18","41.97","42.38","46.32","32.36","170200000","19.01","7.21e+09",NA,NA,"2.25"
"164","nasdaq-com","nihd","1.82","43.15","42.27",0.77,"978948","43.18","41.97","42.38","46.32","32.36","170197000","18.28","7344000550",NA,NA,"2.36"
"165","yahoo-finance","nihd","1.82","43.15","42.18",0.77,"978848","43.18","41.97","42.38","46.32","32.36","170197000","19.11","7.34e+09",NA,NA,"2.26"
"166","bloomberg","cost","369","81.54","81.5",0.3,"2074561","81.7","81.04","81.24","83.95","53.41","437813000","25.402","35699270000","0.24","1.049","3.21"
"167","google-finance","cost","0.37","81.54","81.5",0.3,"2070000","81.7","81.04","81.24","83.95","53.41","437810000","25.49","3.57e+10","0.24","1.18","3.2"
"168","msn-money","cost","0.37","81.54","81.5",0.3,"2070000","81.7","81.04","81.24","83.95","53.41","437810000","25.56","3.557e+10","0.96","1.18","3.2"
"169","nasdaq-com","cost","0.37","81.54","81.5",0.3,"2073601","81.7","81.04","81.24","83.95","53.41","436860000","25.48","35621564400","0.96","1.18","3.2"
"170","yahoo-finance","cost","0.37","81.54","81.51",0.3,"2073101","81.7","81.04","81.24","83.95","53.41","437810000","25.47","3.57e+10","0.96","1.2","3.2"
"171","bloomberg","aapl","2.261","343.26","335.95",7.59,"15450575","343.5","334.2","335.67","364.9","235.56","924755000","16.358","317375800000",NA,NA,"20.98"
